@relation ModifiedAllData

@attribute Uacc 	numeric
@attribute class 	{D, R, G, H}

@data
0.35407482,D
0.397202196,D
0.169809928,D
0.236190914,D
0.747813079,D
0.317920044,D
0.411974326,D
0.487658706,D
0.303882282,D
0.229896005,D
0.603519873,D
0.548241513,D
0.647471484,D
0.241308086,D
0.183476822,D
0.36787964,D
0.544278949,D
0.541058246,D
0.524366846,D
0.264494397,D
0.353404896,D
0.541187246,D
0.699851264,D
0.564233865,D
0.526859083,D
0.223296544,D
0.241231053,D
0.231772767,D
0.185609574,D
0.391614796,D
0.398697243,D
0.250658785,D
0.504154619,D
0.286034135,D
0.254176641,D
0.390184505,D
0.327139844,D
0.426693483,D
0.341927369,D
0.205599558,D
0.197678648,D
0.36573152,D
0.633407341,D
0.29882058,D
0.603844692,D
0.294690403,D
0.261723247,D
0.448021502,D
0.39951933,D
0.431937139,D
0.334284761,D
0.196795426,D
0.195018949,D
0.387773208,D
0.811963123,D
0.547396515,D
0.471486559,D
0.263847765,D
0.478453455,D
0.508030695,D
0.424814345,D
0.277972056,D
0.210231242,D
0.308269583,D
0.896134249,D
0.439839223,D
0.600625785,D
0.255114981,D
0.28274086,D
0.501708808,D
0.574786069,D
0.427774697,D
0.223584488,D
0.19484383,D
0.677648203,D
0.612952156,D
0.680140949,D
0.329341895,D
0.281457611,D
0.500308697,D
0.359893651,D
0.481252095,D
0.539659925,D
0.264262713,D
0.251456942,D
0.207345373,D
0.185960267,D
0.330875317,D
0.624759595,D
0.317919777,D
0.669834816,D
0.346143756,D
0.374394984,D
0.478853458,D
0.429082876,D
0.399342319,D
0.304905953,D
0.25070832,D
0.189561076,D
0.16691811,D
0.160986044,D
0.310306784,D
0.959529464,D
0.459845083,D
0.679900629,D
0.311645173,D
0.327790186,D
0.947807152,D
1.074367913,D
0.516136226,D
0.295784825,D
0.310501837,D
0.800101287,D
1.318018077,D
1.223815138,D
0.376148882,D
0.348396325,D
1.066007589,D
1.040022932,D
0.765687731,D
0.318997346,D
0.254172874,D
0.757675543,D
1.36639631,D
1.302584061,D
0.530887518,D
0.58788018,D
0.457216203,D
0.42097473,D
0.371382605,D
0.369518413,D
0.69016036,D
1.017018682,D
0.828683315,D
0.356583247,D
0.270540143,D
0.197042743,D
0.902271554,D
1.167785318,D
0.852370334,D
0.389818554,D
