@relation evalute

@attribute accelerometer 	numeric
@attribute gyroscope 	numeric
@attribute class 	{Drink, Jogging, Walking}

@data
12.99720169, 3.441609804, Jogging
11.88303132, 3.828986628, Jogging
14.19358044, 3.988947162, Jogging
12.12487114, 3.584956921, Jogging
12.2475225, 3.607777241, Jogging
13.00771604, 3.930378777, Jogging
13.9989321, 4.069244015, Jogging
12.23454363, 3.371798006, Jogging
13.09303804, 3.631230917, Jogging
4.768464626, 1.399855986, Walking
4.47954787, 1.36655702, Walking
4.159278878, 1.343727982, Walking
4.877546108, 1.46724408, Walking
3.791240691, 1.163127915, Walking
3.791240691, 1.163127915, Walking
3.519608316, 1.15238759, Walking
3.135499991, 1.046523116, Walking
3.286071705, 1.211401326, Walking
3.450993826, 1.08913927, Walking
3.164756315, 1.007169326, Walking
3.446912668, 1.137500762, Walking
3.854604693, 1.128529444, Walking
3.502468711, 0.972649122, Walking
3.329707327, 0.953979565, Walking
3.256897807, 0.947366435, Walking
3.372634105, 1.036430946, Walking
3.819918986, 1.683767792, Walking
4.631777834, 1.674313912, Walking
3.22232596, 1.316505116, Walking
3.749113038, 1.91676255, Walking
4.585506587, 1.279703211, Walking
3.082518863, 1.250662996, Walking
3.670765213, 1.787032435, Walking
4.039411812, 2.114754808, Walking
4.664824388, 1.847914248, Walking
3.727740844, 1.410700367, Walking
4.156696902, 1.410700367, Walking
3.994224545, 1.420866346, Walking
3.654513464, 1.005207694, Walking
3.80246414, 1.005207694, Walking
3.218286403, 1.378212828, Walking
3.275751622, 1.414669646, Walking
2.787506416, 1.224081748, Walking
3.343802513, 1.408881864, Walking
3.065755797, 1.730286148, Walking
3.364620164, 1.692078702, Walking
4.155578771, 1.713123758, Walking
2.837936356, 1.222800328, Walking
3.137163943, 1.434451942, Walking
3.126064904, 1.290700994, Walking
4.079883442, 1.683018388, Walking
3.414583524, 1.366562244, Walking
3.202745428, 1.490675011, Walking
3.492970057, 1.727556792, Walking
4.744518328, 1.576217232, Walking
3.308601498, 1.640434762, Walking
3.549208657, 1.727636845, Walking
3.230227491, 1.267905766, Walking
3.667502669, 1.671071282, Walking
3.702702273, 1.52039196, Walking
3.991604295, 1.920812361, Walking
