@relation evaluateDrinkingAndHair&Glasses

@attribute accelerometer 	numeric
@attribute gyroscope 	numeric
@attribute class 	{Drink, Hair&Glasses}

@data
0.541137037, 0.504668283, Drink
0.550510889, 0.510365991, Drink
0.564081209, 0.378452184, Drink
0.616254311, 0.508434539, Drink
0.761520621, 0.477397223, Drink
1.466292569, 1.132405677, Hair&Glasses
2.064943291, 1.617833842, Hair&Glasses
1.810793967, 1.369542748, Hair&Glasses
1.203199773, 1.005364568, Hair&Glasses
1.576364828, 1.029795917, Hair&Glasses
1.616515667, 1.114733132, Hair&Glasses
1.235267978, 0.709955657, Hair&Glasses
1.363265004, 0.957216845, Hair&Glasses
1.455678309, 1.146027105, Hair&Glasses
1.181681015, 0.937847393, Hair&Glasses
1.411632512, 0.664080867, Hair&Glasses
1.317555523, 0.780165412, Hair&Glasses
1.156713411, 0.87537666, Hair&Glasses
1.377865676, 0.681287883, Hair&Glasses
2.613057133, 2.331545548, Hair&Glasses
1.98848894, 1.562307091, Hair&Glasses
2.117199423, 1.434452127, Hair&Glasses
1.270559695, 0.762330906, Hair&Glasses
1.826045685, 1.210412651, Hair&Glasses
1.34919565, 1.072127017, Hair&Glasses
1.878229133, 1.305000473, Hair&Glasses
1.601822532, 1.057550967, Hair&Glasses
2.142989576, 1.510393444, Hair&Glasses
